date,symbol,action,timestamp,entry,close,profit,percentage,result,balance
2021-08-18 13:33:13,FTM,buy,1629293593000,0.42599,0.4898885,15,0.15,take profit,369.8788534
2021-08-19 13:57:27,KSM,buy,1629381447000,320.87,307.52,-4.160563468,-0.04160563468,end,425.3606814
2021-08-19 14:04:55,1INCH,buy,1629381895000,3.3303,3.2354,-2.84959313,-0.0284959313,end,407.6632803
2021-08-20 11:22:17,ADA,buy,1629458537000,2.4842,2.85683,15,0.15,take profit,396.0465355
2021-08-21 9:26:17,MANA,buy,1629537977000,0.9277,0.83493,-10,-0.1,stop loss,455.4535158
2021-08-21 10:17:44,SAND,buy,1629541064000,0.67793,0.610137,-10,-0.1,stop loss,409.9081642
2021-08-21 10:24:50,NEAR,buy,1629541490000,4.7213,5.429495,15,0.15,take profit,368.9173478
2021-08-21 10:39:25,ATOM,buy,1629542365000,20.949,24.09135,15,0.15,take profit,424.2549499
2021-08-22 2:30:00,AVAX,buy,1629599400000,42.924,49.3626,15,0.15,take profit,487.8931924
2021-08-23 10:58:07,AVAX,buy,1629716287000,49.157,44.2413,-10,-0.1,stop loss,561.0771713
2021-08-24 0:04:43,AVAX,buy,1629763483000,45.964,52.8586,15,0.15,take profit,504.9694542
2021-08-24 0:25:06,LUNA,buy,1629764706000,32.214,28.9926,-10,-0.1,stop loss,580.7148723
2021-08-24 3:42:31,SOL,buy,1629776551000,78.242,70.4178,-10,-0.1,stop loss,522.6433851
2021-08-25 14:38:38,BNB,buy,1629902318000,503.35,467.1,-7.201748286,-0.07201748286,end,470.3790466
2021-08-25 15:07:41,ETH,buy,1629904061000,3217.17,3217.64,0.01460911298,0.0001460911298,end,436.5035316
2021-08-26 8:55:34,AVAX,buy,1629968134000,42.96,49.404,15,0.15,take profit,436.5673009
2021-08-26 10:24:38,CHR,buy,1629973478000,0.4327,0.38943,-10,-0.1,stop loss,502.0523961
2021-08-27 2:33:23,RAY,buy,1630031603000,7.598,8.7377,15,0.15,take profit,451.8471565
2021-08-27 2:43:06,SRM,buy,1630032186000,7.129,8.19835,15,0.15,take profit,519.6242299
2021-08-27 11:45:59,DOT,buy,1630064759000,25.2,28.98,15,0.15,take profit,597.5678644
2021-08-28 0:23:54,ICP,buy,1630110234000,64.85,74.5775,15,0.15,take profit,687.2030441
2021-08-28 2:33:28,RAY,buy,1630118008000,10.547,12.12905,15,0.15,take profit,790.2835007
2021-08-28 13:06:00,AUDIO,buy,1630155960000,2.731,3.14065,15,0.15,take profit,908.8260258
2021-08-28 14:19:09,NEAR,buy,1630160349000,5.563,5.513,-0.8987956139,-0.008987956139,end,1045.14993
2021-08-28 16:03:43,FTM,buy,1630166623000,0.5193,0.597195,15,0.15,take profit,1035.756168
2021-08-29 4:39:56,LUNA,buy,1630211996000,34.69,31.221,-10,-0.1,stop loss,1191.119593
2021-08-29 8:38:32,REN,buy,1630226312000,0.6522,0.75003,15,0.15,take profit,1072.007634
2021-08-30 16:05:22,C98,buy,1630339522000,4.946,4.4514,-10,-0.1,stop loss,1232.808779
2021-08-30 17:03:30,UNI,buy,1630343010000,27.17,31.2455,15,0.15,take profit,1109.527901
2021-08-30 17:05:13,BAL,buy,1630343113000,27.62,31.763,15,0.15,take profit,1275.957086
2021-08-30 18:45:49,BNB,buy,1630349149000,477.4,495.4,3.770423125,0.03770423125,end,1467.350649
2021-08-31 7:18:29,FTM,buy,1630394309000,0.8659,0.77931,-10,-0.1,stop loss,1522.675977
2021-08-31 7:42:38,DOT,buy,1630395758000,27.58,31.717,15,0.15,take profit,1370.40838
2021-08-31 16:29:37,LIT,buy,1630427377000,5.353,5.5,2.746123669,0.02746123669,end,1575.969636
2021-09-01 2:47:29,REEF,buy,1630464449000,0.02495,0.0286925,15,0.15,take profit,1619.247712
2021-09-02 14:25:48,BNB,buy,1630592748000,482.5,434.25,-10,-0.1,stop loss,1862.134868
2021-09-02 16:37:42,SOL,buy,1630600662000,123.87,142.4505,15,0.15,take profit,1675.921382
2021-09-03 1:35:09,NEAR,buy,1630632909000,5.898,6.7827,15,0.15,take profit,1927.309589
2021-09-03 9:14:09,LINK,buy,1630660449000,31.4,36.11,15,0.15,take profit,2216.406027
2021-09-03 9:56:57,LTC,buy,1630663017000,191.5,220.225,15,0.15,take profit,2548.866931
2021-09-03 10:30:20,BCH,buy,1630665020000,676.3,777.745,15,0.15,take profit,2931.196971
2021-09-04 0:04:42,FTM,buy,1630713882000,1.0398,1.19577,15,0.15,take profit,3370.876517
2021-09-04 7:43:41,ALICE,buy,1630741421000,19.51,17.559,-10,-0.1,stop loss,3876.507994
2021-09-04 8:08:27,CHR,buy,1630742907000,0.4529,0.40761,-10,-0.1,stop loss,3488.857195
2021-09-04 8:41:34,ICP,buy,1630744894000,73.23,84.2145,15,0.15,take profit,3139.971475
2021-09-04 10:48:06,YFI,buy,1630752486000,41200.62,37080.558,-10,-0.1,stop loss,3610.967196
2021-09-05 13:56:13,FLOW,buy,1630850173000,27.09,24.381,-10,-0.1,stop loss,3249.870477
2021-09-06 16:00:48,SOL,buy,1630944048000,156.23,179.6645,15,0.15,take profit,2924.883429
2021-09-06 16:34:44,FTM,buy,1630946084000,1.4368,1.65232,15,0.15,take profit,3363.615944
2021-09-06 18:07:58,RUNE,buy,1630951678000,11.788,10.6092,-10,-0.1,stop loss,3868.158335
2021-09-07 14:36:01,ETH,buy,1631025361000,3399.09,3059.181,-10,-0.1,stop loss,3481.342502
2021-09-08 8:29:32,NEAR,buy,1631089772000,8.395,9.65425,15,0.15,take profit,3133.208251
2021-09-08 11:50:03,NEAR,buy,1631101803000,10.097,9.0873,-10,-0.1,stop loss,3603.189489
2021-09-09 5:42:05,ALGO,buy,1631166125000,2.042,2.3483,15,0.15,take profit,3242.87054
2021-09-09 6:23:05,WAVES,buy,1631168585000,31.26,28.134,-10,-0.1,stop loss,3729.301121
2021-09-09 17:11:55,BNB,buy,1631207515000,427.6,384.84,-10,-0.1,stop loss,3356.371009
2021-09-10 2:26:06,IOST,buy,1631240766000,0.07954,0.071586,-10,-0.1,stop loss,3020.733908
2021-09-10 12:21:09,AVAX,buy,1631276469000,47.91,43.119,-10,-0.1,stop loss,2718.660517
2021-09-10 15:53:24,ALGO,buy,1631289204000,1.987,2.28505,15,0.15,take profit,2446.794466
2021-09-10 17:31:54,ETH,buy,1631295114000,3333.69,3539.63,6.177539003,0.06177539003,end,2813.813635
2021-09-10 18:06:23,RAY,buy,1631297183000,14.448,16.6152,15,0.15,take profit,2987.63807
2021-09-10 18:30:36,WAVES,buy,1631298636000,30.2,34.73,15,0.15,take profit,3435.783781
2021-09-11 12:00:32,AVAX,buy,1631361632000,50.14,57.661,15,0.15,take profit,3951.151348
2021-09-11 12:22:43,SRM,buy,1631362963000,12.618,11.3562,-10,-0.1,stop loss,4543.82405
2021-09-12 11:50:12,KSM,buy,1631447412000,423.9,381.51,-10,-0.1,stop loss,4089.441645
2021-09-12 13:51:37,ALGO,buy,1631454697000,2.1791,2.505965,15,0.15,take profit,3680.497481
2021-09-13 16:01:09,DOT,buy,1631548869000,35.73,34.75,-2.742793171,-0.02742793171,end,4232.572103
2021-09-13 16:27:43,LIT,buy,1631550463000,4.748,4.2732,-10,-0.1,stop loss,4116.481404
2021-09-14 5:22:12,XTZ,buy,1631596932000,7.829,7.0461,-10,-0.1,stop loss,3704.833264
2021-09-14 8:46:03,LIT,buy,1631609163000,4.715,4.2435,-10,-0.1,stop loss,3334.349937
2021-09-14 10:22:13,DYDX,buy,1631614933000,11.055,12.71325,15,0.15,take profit,3000.914944
