symbol,action,date,entry_timestamp,entry,close,profit,percentage,result,profit_sum,balance
GTC/USDT,long,2021-11-08 15:30:12+00:00,1636385460,9.534,9.924008,122.7212083,0.04090706944,take profit,810.6809488,910.6809488
BTC/USDT,long,2021-11-08 15:48:04+00:00,1636386540,66332.96,65802.29632,-100,-0.008,liquidate,710.6809488,810.6809488
COTI/USDT,long,2021-11-08 22:30:03+00:00,1636410660,0.5622,0.5875088,90.03486304,0.04501743152,take profit,800.7158119,900.7158119
BNB/USDT,long,2021-11-09 00:45:05+00:00,1636418760,656.5,647.7466667,-100,-0.01333333333,liquidate,700.7158119,800.7158119
BTC/USDT,short,2021-11-09 11:28:05+00:00,1636457340,67695,66778.36704,171.5811947,0.01372649558,take profit,872.2970066,972.2970066
BTC/USDT,short,2021-11-09 23:50:04+00:00,1636501860,66865.99,66073.10619,150.0012365,0.01200009892,take profit,1022.298243,1122.298243
MATIC/USDT,long,2021-11-10 02:05:05+00:00,1636509960,1.82,1.79487,-55.23076923,-0.01380769231,stop loss,967.0674739,1067.067474
NEAR/USDT,short,2021-11-10 02:55:04+00:00,1636512960,11.144,11.49892,-77.16376842,-0.03086550737,stop loss,889.9037054,989.9037054
MATIC/USDT,short,2021-11-10 04:10:07+00:00,1636517460,1.779,1.80891,-66.13927724,-0.01653481931,stop loss,823.7644282,923.7644282
MATIC/USDT,long,2021-11-10 06:25:04+00:00,1636525560,1.815,1.828512,29.7785124,0.007444628099,take profit,853.5429406,953.5429406
NEAR/USDT,long,2021-11-10 08:05:05+00:00,1636531560,11.462,11.77805,68.93430466,0.02757372186,take profit,922.4772453,1022.477245
BNB/USDT,long,2021-11-10 08:15:05+00:00,1636532160,648.3,654.379,70.32623785,0.009376831714,take profit,992.8034831,1092.803483
BTC/USDT,long,2021-11-10 13:36:04+00:00,1636551420,67144.14,68004.67548,160.2030125,0.012816241,take profit,1153.006496,1253.006496
FTM/USDT,long,2021-11-10 16:35:04+00:00,1636562160,2.9661,2.981116,10.12508007,0.005062540036,take profit,1163.131576,1263.131576
BTC/USDT,short,2021-11-10 18:52:04+00:00,1636570380,67780.01,66941.78463,156.5213294,0.01252170635,take profit,1319.652905,1419.652905
MATIC/USDT,short,2021-11-10 19:45:06+00:00,1636573560,1.831,1.813376,38.87555587,0.009718888967,take profit,1358.528461,1458.528461
FTM/USDT,short,2021-11-10 19:45:07+00:00,1636573560,2.8025,2.767644,31.48526328,0.01259410531,take profit,1390.013724,1490.013724
NEAR/USDT,short,2021-11-10 19:50:05+00:00,1636573860,11.116,10.89601,50.47489861,0.02018995944,take profit,1440.488623,1540.488623
BNB/USDT,short,2021-11-10 20:00:58+00:00,1636574460,630.3,625.977,51.795034,0.006906004534,take profit,1492.283657,1592.283657
COTI/USDT,short,2021-11-10 20:01:11+00:00,1636574520,0.5141,0.4963728,71.42695974,0.03571347987,take profit,1563.710617,1663.710617
GTC/USDT,short,2021-11-10 20:01:43+00:00,1636574520,9.498,9.224582,59.28030126,0.02964015063,take profit,1622.990918,1722.990918
LINA/USDT,short,2021-11-10 21:44:52+00:00,1636580700,0.06207,0.0611846,28.94192329,0.01447096165,take profit,1651.932841,1751.932841
FTM/USDT,long,2021-11-10 23:52:46+00:00,1636588380,2.6274,2.627818,0.3181852782,0.0001590926391,take profit,1652.251026,1752.251026
CRV/USDT,long,2021-11-11 00:30:04+00:00,1636590660,4.137,4.07386,-30.52453469,-0.01526226734,stop loss,1621.726492,1721.726492
MATIC/USDT,long,2021-11-11 05:55:05+00:00,1636610160,1.729,1.742832,32,0.008,take profit,1653.726492,1753.726492
RAY/USDT,long,2021-11-11 07:00:19+00:00,1636614060,11.56,11.291,-2.326989619,-0.02326989619,end,1651.399502,1751.399502
NEAR/USDT,long,2021-11-11 07:45:05+00:00,1636616760,11.356,11.68226,71.82546671,0.02873018669,take profit,1723.224969,1823.224969
BTC/USDT,long,2021-11-11 07:48:04+00:00,1636616940,65365.07,64842.14944,-100,-0.008,liquidate,1623.224969,1723.224969
CRV/USDT,short,2021-11-11 12:30:08+00:00,1636633860,4.154,4.23912,-40.15927834,-0.02007963917,stop loss,1583.06569,1683.06569
BTC/USDT,short,2021-11-11 14:14:05+00:00,1636640100,64485.67,65001.55536,-100,-0.007936507937,liquidate,1483.06569,1583.06569
MATIC/USDT,short,2021-11-11 14:15:06+00:00,1636640160,1.706,1.73417,-64.97632873,-0.01624408218,stop loss,1418.089362,1518.089362
MATIC/USDT,long,2021-11-11 19:55:06+00:00,1636660560,1.759,1.772064,29.70778852,0.007426947129,take profit,1447.79715,1547.79715
MATIC/USDT,short,2021-11-12 00:20:06+00:00,1636676460,1.746,1.73104,34.56881412,0.008642203531,take profit,1482.365964,1582.365964
GTC/USDT,long,2021-11-12 02:15:11+00:00,1636683360,9.749,9.424033333,-100,-0.03333333333,liquidate,1382.365964,1482.365964
NEAR/USDT,short,2021-11-12 03:10:07+00:00,1636686660,11.832,11.47316,78.19118708,0.03127647483,take profit,1460.557151,1560.557151
FTM/USDT,short,2021-11-12 07:10:04+00:00,1636701060,2.5297,2.557118,-26.80556783,-0.01072222713,stop loss,1433.751584,1533.751584
FTM/USDT,long,2021-11-12 13:30:06+00:00,1636723860,2.6616,2.668117,4.897054403,0.002448527202,take profit,1438.648638,1538.648638
MATIC/USDT,long,2021-11-12 18:25:04+00:00,1636741560,1.719,1.69488,-56.12565445,-0.01403141361,stop loss,1382.522984,1482.522984
BTC/USDT,long,2021-11-12 21:14:04+00:00,1636751700,64390.46,63875.33632,-100,-0.008,liquidate,1282.522984,1382.522984
NEAR/USDT,long,2021-11-13 00:00:37+00:00,1636761660,11.412,11.06479,-76.06247809,-0.03042499124,stop loss,1206.460505,1306.460505
CRV/USDT,long,2021-11-13 00:40:05+00:00,1636764060,4.163,4.24014,37.05981264,0.01852990632,take profit,1243.520318,1343.520318
BTC/USDT,short,2021-11-13 02:06:04+00:00,1636769220,63835.6,64346.2848,-100,-0.007936507937,liquidate,1143.520318,1243.520318
NEAR/USDT,short,2021-11-13 03:00:31+00:00,1636772460,11.016,11.167,-1.370733479,-0.01370733479,end,1142.149585,1242.149585
BTC/USDT,long,2021-11-13 14:06:09+00:00,1636812420,64100.03,65005.23313,176.5215886,0.01412172709,take profit,1318.671173,1418.671173
NEAR/USDT,long,2021-11-13 15:10:06+00:00,1636816260,11.202,11.225,0.2053204785,0.002053204785,end,1318.876494,1418.876494
COTI/USDT,long,2021-11-13 15:30:06+00:00,1636817460,0.5169,0.5406632,91.94505707,0.04597252854,take profit,1410.821551,1510.821551
BTC/USDT,short,2021-11-13 18:34:05+00:00,1636828500,64204.81,64718.44848,-100,-0.007936507937,liquidate,1310.821551,1410.821551
RUNE/USDT,long,2021-11-13 23:00:12+00:00,1636844460,13.063,13.65832,91.14598484,0.04557299242,take profit,1401.967536,1501.967536
BTC/USDT,long,2021-11-14 00:12:04+00:00,1636848780,64645.35,64128.1872,-100,-0.008,liquidate,1301.967536,1401.967536
CRV/USDT,short,2021-11-14 08:10:12+00:00,1636877460,4.153,4.06602,42.78385251,0.02139192626,take profit,1344.751388,1444.751388
BTC/USDT,short,2021-11-14 08:18:03+00:00,1636877940,64343.54,64858.28832,-100,-0.007936507937,liquidate,1244.751388,1344.751388
LINA/USDT,long,2021-11-14 11:00:39+00:00,1636887660,0.06537,0.063558,-55.43827444,-0.02771913722,stop loss,1189.313114,1289.313114
FTM/USDT,short,2021-11-14 16:45:04+00:00,1636908360,2.5294,2.553179,-23.28371806,-0.009313487225,stop loss,1166.029396,1266.029396
NEAR/USDT,short,2021-11-14 17:40:05+00:00,1636911660,11.192,11.5257,-72.38172085,-0.02895268834,stop loss,1093.647675,1193.647675
BTC/USDT,long,2021-11-14 18:06:05+00:00,1636913220,64392.29,63877.15168,-100,-0.008,liquidate,993.6476748,1093.647675
NEAR/USDT,long,2021-11-14 22:35:06+00:00,1636929360,11.828,11.46346,-77.05021982,-0.03082008793,stop loss,916.597455,1016.597455
NEAR/USDT,short,2021-11-15 08:10:05+00:00,1636963860,11.588,11.25491,73.98770848,0.02959508339,take profit,990.5851635,1090.585163
BTC/USDT,short,2021-11-15 08:18:05+00:00,1636964340,65342.13,65864.86704,-100,-0.007936507937,liquidate,890.5851635,990.5851635
COTI/USDT,short,2021-11-15 22:30:04+00:00,1637015460,0.4938,0.4703832,99.56478037,0.04978239019,take profit,990.1499438,1090.149944
GTC/USDT,short,2021-11-16 00:15:07+00:00,1637021760,8.747,8.341306,97.2734965,0.04863674825,take profit,1087.42344,1187.42344
RAY/USDT,short,2021-11-16 01:00:26+00:00,1637024460,10.791,10.39008,77.17361175,0.03858680588,take profit,1164.597052,1264.597052
LINA/USDT,short,2021-11-16 01:30:09+00:00,1637026260,0.05724,0.0540218,119.1444935,0.05957224676,take profit,1283.741546,1383.741546
FTM/USDT,long,2021-11-16 11:05:05+00:00,1637060760,2.2322,2.254118,19.63802527,0.009819012633,take profit,1303.379571,1403.379571
CRV/USDT,long,2021-11-16 14:10:19+00:00,1637071860,3.583,3.6669,46.83226347,0.02341613173,take profit,1350.211834,1450.211834
FTM/USDT,short,2021-11-17 02:55:05+00:00,1637117760,2.1288,2.106423,26.558056,0.0106232224,take profit,1376.76989,1476.76989
BTC/USDT,long,2021-11-17 10:54:05+00:00,1637146500,60519.28,60035.12576,-100,-0.008,liquidate,1276.76989,1376.76989
NEAR/USDT,long,2021-11-17 11:20:05+00:00,1637148060,9.634,9.24864,-100,-0.04,liquidate,1176.76989,1276.76989
RAY/USDT,long,2021-11-17 12:00:39+00:00,1637150460,10.621,10.194,-4.020337068,-0.04020337068,end,1172.749553,1272.749553
BTC/USDT,short,2021-11-17 14:58:05+00:00,1637161140,59599.99,60076.78992,-100,-0.007936507937,liquidate,1072.749553,1172.749553
NEAR/USDT,short,2021-11-17 15:30:06+00:00,1637163060,9.313,9.5996,-74.63852661,-0.02985541064,stop loss,998.1110266,1098.111027
CRV/USDT,short,2021-11-17 15:30:11+00:00,1637163060,3.775,3.84846,-38.17630948,-0.01908815474,stop loss,959.9347172,1059.934717
CRV/USDT,long,2021-11-17 19:00:28+00:00,1637175660,3.996,3.91706,-39.50950951,-0.01975475475,stop loss,920.4252076,1020.425208
BTC/USDT,long,2021-11-18 00:20:05+00:00,1637194860,60628.78,60143.74976,-100,-0.008,liquidate,820.4252076,920.4252076
NEAR/USDT,long,2021-11-18 00:50:04+00:00,1637196660,9.595,9.87461,72.85304846,0.02914121939,take profit,893.2782561,993.2782561
BTC/USDT,short,2021-11-18 04:32:05+00:00,1637209980,59722.22,58911.10848,172.1049605,0.01376839684,take profit,1065.383217,1165.383217
NEAR/USDT,short,2021-11-18 06:05:08+00:00,1637215560,9.408,9.14613,71.57945492,0.02863178197,take profit,1136.962672,1236.962672
CRV/USDT,short,2021-11-18 07:40:05+00:00,1637221260,3.977,4.04838,-35.26348811,-0.01763174406,stop loss,1101.699183,1201.699183
RAY/USDT,short,2021-11-18 10:00:37+00:00,1637229660,9.971,9.57792,82.08045171,0.04104022585,take profit,1183.779635,1283.779635
CRV/USDT,long,2021-11-18 19:00:19+00:00,1637262060,3.875,3.94944,38.42064516,0.01921032258,take profit,1222.20028,1322.20028
NEAR/USDT,long,2021-11-19 00:35:05+00:00,1637282160,9.096,8.86386,-63.80277045,-0.02552110818,stop loss,1158.39751,1258.39751
CRV/USDT,short,2021-11-19 02:50:06+00:00,1637290260,4.039,3.96606,36.78209609,0.01839104804,take profit,1195.179606,1295.179606
FTM/USDT,long,2021-11-19 05:55:05+00:00,1637301360,1.9462,1.928421,-18.2704758,-0.009135237899,stop loss,1176.90913,1276.90913
BTC/USDT,long,2021-11-19 08:24:03+00:00,1637310300,57148.99,56892.58,-0.4486693466,-0.004486693466,end,1176.460461,1276.460461
