date,symbol,action,timestamp,entry,close,profit,percentage,result,balance
2021-08-10 11:49:14,EOS,buy,1628596154000,4.6591,4.6528,-0.1352192484,-0.001352192484,end,102.0684558
2021-08-10 12:09:38,BTC,buy,1628597378000,45361.35,45470.86,0.2414169772,0.002414169772,end,101.9304396
2021-08-10 12:41:23,IOTA,buy,1628599283000,0.9587,0.9591,0.04172316679,0.0004172316679,end,102.176517
2021-08-11 4:13:29,ATOM,buy,1628655209000,14.9,14.961,0.4093959732,0.004093959732,end,102.2191483
2021-08-11 11:20:21,DOGE,buy,1628680821000,0.2701,0.27055,0.1666049611,0.001666049611,end,102.6376293
2021-08-12 5:56:16,LTC,buy,1628747776000,170.88,170.26,-0.3628277154,-0.003628277154,end,102.8086287
2021-08-12 14:23:19,ALICE,buy,1628778199000,13.033,13.0041,-0.2217448017,-0.002217448017,end,102.4356105
2021-08-13 23:00:23,BTC,buy,1628895623000,47540,47533.3,-0.01409339504,-0.0001409339504,end,102.2084649
2021-08-15 3:06:27,ALGO,buy,1628996787000,0.9587,0.9666,0.8240325441,0.008240325441,end,102.1940602
2021-08-15 12:00:01,TLM,buy,1629028801000,0.3393,0.335907,-1,-0.01,stop loss,103.0361725
2021-08-16 9:24:16,LINK,buy,1629105856000,29.52,29.442,-0.2642276423,-0.002642276423,end,102.0058108
2021-08-16 10:23:06,SAND,buy,1629109386000,0.68373,0.68599,0.330539833,0.00330539833,end,101.7362833
2021-08-16 20:59:39,LTC,buy,1629147579000,179.88,179.79,-0.05003335557,-0.0005003335557,end,102.0725622
2021-08-17 2:19:49,NEAR,buy,1629166789000,3.859,3.82041,-1,-0.01,stop loss,102.0214919
2021-08-17 3:28:34,SUSHI,buy,1629170914000,13.649,13.51251,-1,-0.01,stop loss,101.001277
2021-08-17 11:03:43,SOL,buy,1629198223000,70.914,70.976,0.0874298446,0.000874298446,end,99.99126419
2021-08-18 0:55:59,ETH,buy,1629248159000,3012.43,3020.36,0.2632426314,0.002632426314,end,100.0786864
2021-08-18 13:33:13,FTM,buy,1629293593000,0.42816,0.42943,0.2966180867,0.002966180867,end,100.3421362
2021-08-19 13:57:27,KSM,buy,1629381447000,322.04,320.8,-0.385045336,-0.00385045336,end,100.6397691
2021-08-19 14:04:55,1INCH,buy,1629381895000,3.2997,3.3192,0.5909628148,0.005909628148,end,100.2522604
2021-08-20 11:22:17,ADA,buy,1629458537000,2.5038,2.5068,0.1198178768,0.001198178768,end,100.8447139
2021-08-21 9:26:17,MANA,buy,1629537977000,0.94,0.9385,-0.1595744681,-0.001595744681,end,100.9655439
2021-08-21 10:17:44,SAND,buy,1629541064000,0.69696,0.70246,0.7891414141,0.007891414141,end,100.8044287
2021-08-21 10:24:50,NEAR,buy,1629541490000,4.7536,4.7507,-0.06100639515,-0.0006100639515,end,101.5999182
2021-08-21 10:39:25,ATOM,buy,1629542365000,20.862,20.855,-0.03355382993,-0.0003355382993,end,101.5379357
2021-08-22 2:30:00,AVAX,buy,1629599400000,41.977,42.041,0.1524644448,0.001524644448,end,101.5038659
2021-08-23 10:58:07,AVAX,buy,1629716287000,49.105,49.3,0.3971082375,0.003971082375,end,101.6586232
2021-08-24 0:04:43,AVAX,buy,1629763483000,46.506,46.618,0.2408291403,0.002408291403,end,102.062318
2021-08-24 0:25:06,LUNA,buy,1629764706000,31.161,31.271,0.3530053593,0.003530053593,end,102.3081138
2021-08-24 3:42:31,SOL,buy,1629776551000,78.45,78.263,-0.2383683875,-0.002383683875,end,102.6692669
2021-08-25 14:38:38,BNB,buy,1629902318000,497.81,497.29,-0.104457524,-0.00104457524,end,102.4245358
2021-08-25 15:07:41,ETH,buy,1629904061000,3192.72,3193.96,0.03883835726,0.0003883835726,end,102.3175457
2021-08-26 8:55:34,AVAX,buy,1629968134000,43.28,43.03,-0.5776340111,-0.005776340111,end,102.3572841
2021-08-26 10:24:38,CHR,buy,1629973478000,0.431,0.4353,0.9976798144,0.009976798144,end,101.7660336
2021-08-27 2:33:23,RAY,buy,1630031603000,7.55,7.748,2.622516556,0.02622516556,end,102.7813328
2021-08-27 2:43:06,SRM,buy,1630032186000,7.074,7.111,0.5230421261,0.005230421261,end,105.4767903
2021-08-27 11:45:59,DOT,buy,1630064759000,25.34,25.32,-0.07892659826,-0.0007892659826,end,106.0284783
2021-08-28 0:23:54,ICP,buy,1630110234000,62.56,63.22,1.054987212,0.01054987212,end,105.9447937
2021-08-28 2:33:28,RAY,buy,1630118008000,11.231,11.11869,-1,-0.01,stop loss,107.0624977
2021-08-28 13:06:00,AUDIO,buy,1630155960000,2.528,2.69,6.408227848,0.06408227848,end,105.9918727
2021-08-28 14:19:09,NEAR,buy,1630160349000,5.562,5.50638,-1,-0.01,stop loss,112.7840734
